TEAM_ID,TEAM_NAME,POWER_RANKING,STANDING
1610612744,Golden State Warriors,1,1
1610612739,Cleveland Cavaliers,2,3
1610612745,Houston Rockets,3,17
1610612746,LA Clippers,4,6
1610612737,Atlanta Hawks,5,7
1610612763,Memphis Grizzlies,6,15
1610612759,San Antonio Spurs,7,2
1610612741,Chicago Bulls,8,16
1610612764,Washington Wizards,9,18
1610612740,New Orleans Pelicans,10,25
1610612749,Milwaukee Bucks,11,22
1610612760,Oklahoma City Thunder,12,5
1610612757,Portland Trail Blazers,13,13
1610612742,Dallas Mavericks,14,14
1610612762,Utah Jazz,15,19
1610612751,Brooklyn Nets,16,28
1610612738,Boston Celtics,17,8
1610612761,Toronto Raptors,18,4
1610612754,Indiana Pacers,19,11
1610612748,Miami Heat,20,10
1610612765,Detroit Pistons,21,12
1610612756,Phoenix Suns,22,27
1610612758,Sacramento Kings,23,23
1610612743,Denver Nuggets,24,21
1610612766,Charlotte Hornets,25,9
1610612747,Los Angeles Lakers,26,29
1610612752,New York Knicks,27,24
1610612753,Orlando Magic,28,20
1610612750,Minnesota Timberwolves,29,26
1610612755,Philadelphia 76ers,30,30
